Serial Number,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Title,Edition,Frequency,Place of Publication,Publisher,Year,Series Title,Physical Description,Notes,International Standard Book Number,International Standard Serial Number,Price,Reference Number
10301,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God's people = 聰明小腦袋聖經活動冊. 上帝的子民 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in Chinese and English,978-988-8286-82-9 (pbk.),,$28.00,2017-10949
10302,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God's people = 聰明小腦袋聖經活動冊. 上帝的子民 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in simplified Chinese and English,978-988-8286-86-7 (pbk.),,$28.00,2017-10956
10303,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God's son = 聰明小腦袋聖經活動冊. 上帝的兒子 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in Chinese and English,978-988-8286-84-3 (pbk.),,$28.00,2017-10952
10304,"Montero, Jose Perez",黃婉蓮,,,,,,,,,BIBLE activities for bright minds. God's son = 聰明小腦袋聖經活動冊. 上帝的兒子 / illustrated by Jose Perez Montero ; translated by 黃婉蓮.,,,Hong Kong,Chinese Bible International Limited,2017,,22 p. : col. ill. ; 28 cm.,Text in simplified Chinese and English,978-988-8286-88-1 (pbk.),,$28.00,2017-10953
10305,Bill Railway Transportation Technology Holdings Company Limited,,,,,,,,,,Bill Railway Transportation Technology Holdings Company Limited interim report 2017 = 京投軌道交通科技控股有限公司中期報告2017.,,,Hong Kong,Bill Railway Transportation Technology Holdings Company Limited,2017,,"70, 70 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10281
10306,Biosino Bio-Technology and Science Incorporation,,,,,,,,,,Biosino Bio-Technology and Science Incorporation 2017 interim report = 中生北控生物科技股份有限公司2017中期報告.,,,Hong Kong,Biosino Bio-Technology and Science Incorporation,2017,,"30, 30 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10695
10307,Biosino Bio-Technology and Science Incorporation,,,,,,,,,,Biosino Bio-Technology and Science Incorporation 2017 third quarterly report = 中生北控生物科技股份有限公司2017第三季度業績報告.,,,Hong Kong,Biosino Bio-Technology and Science Incorporation,2017,,"16, 16 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13484
10308,Birmingham Sports Holdings Limited,,,,,,,,,,Birmingham Sports Holdings Limited annual report 2017 = 伯明翰體育控股有限公司年報2017.,,,Hong Kong,Birmingham Sports Holdings Limited,2017,,124 p. : col. ill. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-13551
10309,Bisu Technology Group International Limited,,,,,,,,,,Bisu Technology Group International Limited interim report 2017 = 比速科技集團國際有限公司中期報告2017.,,,Hong Kong,Bisu Technology Group International Limited,2017,,48 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-12416
10310,"Bliss, Harper",,,,,,,,,,Water under bridges / Harper Bliss.,,,Hong Kong,Q.P.S. Projects Limited,2017,Pink bean series ; Book 5,227 p. ; 21 cm.,,978-988-78013-0-6 (pbk.),,$120.00,2017-12299
10311,BOC Aviation Limited,,,,,,,,,,BOC Aviation Limited interim report 2017.,,,Hong Kong,BOC Aviation Limited,2017,,"29, 34 p. : charts ; 30 cm.",,,,Unpriced (pbk.),2017-11692
10312,BOC Hong Kong (Holdings) Limited,,,,,,,,,,BOC Hong Kong (Holdings) Limited 2017 interim report.,,,Hong Kong,BOC Hong Kong (Holdings) Limited,2017,,132 p. : charts ; 29 cm.,,,,Unpriced (pbk.),2017-10740
10313,Bonjour Holdings Limited,,,,,,,,,,Bonjour Holdings Limited 2017 interim report = 卓悅控股有限公司2017中期業績報告.,,,Hong Kong,Bonjour Holdings Limited,2017,,40 p. : col. ill. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-12116
10314,"Bourdier, Emmanuel",Zau,,,,,,,,,Hazelnut days / Emmanuel Bourdier ; illustrated by Zau.,,,Hong Kong,Michael Neugebauer (Publishing) Limited,2017,,unpaged : col. ill. ; 30 cm.,,978-988-8341-54-2,,USD17.99,2017-11468
10315,"Bow, Bebe","Yee, Ching",,,,,,,,,Off to school / Bebe Bow ; illustrated by Ching Yee.,,,Hong Kong,Educational Publishing House Limited,2017,Step up through reading,13 p. : col. ill. ; 24 cm. + sticker,,978-988-8427-54-3 (pbk.),,Unpriced,2017-11115
10316,Viction:ary,,,,,,,,,,BRANDLIFE : boutique hotels & hostels : integrated brand systems in graphics and space / edited by viction:ary.,,,Hong Kong,Viction Workshop Limited,2017,,279 p. : col. ill. ; 26 cm.,Includes bibliographical references,978-988-77746-3-1 (pbk.),,$308.00,2017-10390
10317,"Shen, Zhenzhou",,,,,,,,,,BREAST cancer / edited by Zhenzhou Shen ... [et al.].,,,Hong Kong,Ame Publishing Company,2017,,"xvii, 295 p. : col. ill., col. charts ; 29 cm.",Includes bibliographical references,978-988-77841-2-8,,CNY685.00,2017-13827
10318,"Brennan, Sarah","Harrison, Harry",,,,,,,,,The tale of a dark horse / written by Sarah Brennan ; illustrated by Harry Harrison.,,,Hong Kong,Auspicious Times Limited,2017,The Chinese calendar tales,"unpaged : col. ill., col. map, port ; 23 x 26 cm.",,978-988-16098-9-2 (pbk.),,$99.00,2017-12832
10319,"Brennan, Sarah","Harrison, Harry",,,,,,,,,The tale of Desmond dog / written by Sarah Brennan ; illustrated by Harry Harrison.,,,Hong Kong,Auspicious Times Limited,2017,The Chinese calendar tales,"unpaged : col. ill., port ; 23 x 26 cm.",,978-988-16098-8-5 (pbk.),,$99.00,2017-12833
10320,Brilliant Circle Holdings International Limited,,,,,,,,,,Brilliant Circle Holdings International Limited 2017 interim report = 貴聯控股國際有限公司2017中期報告.,,,Hong Kong,Brilliant Circle Holdings International Limited,2017,,52 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11651
10321,Brockman Mining Limited,,,,,,,,,,Brockman Mining Limited annual report 2017.,,,Hong Kong,Brockman Mining Limited,2017,,"95 p. : col. ill., col. map ; 30 cm.",,,,Unpriced (pbk.),2017-11688
10322,"Tang, Kim Ping",,,,,,,,,,BUDDING writers / chief edited by Tang Kim Ping.,Pearl ed.,,Hong Kong,HHCKLA Buddhist Leung Chik Wai College,2017,,91 p. ; 21 cm.,,978-988-78482-4-0 (pbk.),,Unpriced,2017-13521
10323,"Chan, Flora",,,,,,,,,,BUGGED! / Flora Chan ... [et al.].,,,Hong Kong,Elephant Community Press Limited,2017,,141 p. : ill. ; 21 cm.,,978-988-77189-0-1 (pbk.),,$70.00,2017-13944
10324,"Burnside, John",,,,,,,,,,An essay on mourning = 哀悼隨筆 / John Burnside.,,,Hong Kong,The Chinese University Press,2017,Ancient enmity box set collection ; 4,41 p. ; 17 cm.,Text in Chinese and English,"978-988-237-027-2 (pbk.), 978-988-237-028-9 (set)",,$20.00; $300.00,2017-12707
10325,"Yeung, Patricia",,,,,,,,,,BUTTERWORTHS Hong Kong employment law handbook : employment Ordinance (Cap 57) = 僱傭條例(第57章) / annotated by Patricia Yeung.,5th ed.,,Hong Kong,LexisNexis,2017,,"lxxxviii, 1262 p. ; 25 cm.",Glossary,978-988-8476-06-0 (pbk.),,$2100.00,2017-13232
10326,C Cheng Holdings Limited,,,,,,,,,,"C Cheng Holdings Limited (1) General mandates to issue shares and repurchase shares, (2) Proposed refreshment of scheme mandate limit of share option scheme, (3) Re-election of directors, (4) Declaration of final dividend, (5) Re-appointment of auditors, and (6) Notice of annual general meeting, 22 May 2017 = 思城控股有限公司 (1) 發行股份及購回股份的一般授權 (2) 建議更新購股權計劃的計劃授權限額 (3) 重選董事 (4) 宣派末期股息 (5) 續聘核數師及 (6) 股東周年大會通告, 二零一七年五月二十二日.",,,Hong Kong,C Cheng Holdings Limited,2017,,"i, 25, i, 25 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11890
10327,C Cheng Holdings Limited,,,,,,,,,,C Cheng Holdings Limited 2017 interim report = 思城控股有限公司2017中期報告.,,,Hong Kong,C Cheng Holdings Limited,2017,,"26, 26 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12179
10328,C.P. Lotus Corporation,,,,,,,,,,C.P. Lotus Corporation 2017 interim report = 卜蜂蓮花有限公司2017中期報告.,,,Hong Kong,C.P. Lotus Corporation,2017,,36 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-11085
10329,C.P. Pokphand Company Limited,,,,,,,,,,C.P. Pokphand Company Limited interim report 2017 = 卜蜂國際有限公司2017中期報告.,,,Hong Kong,C.P. Pokphand Company Limited,2017,,48 p. : charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-10357
10330,C&D International Investment Group Limited,,,,,,,,,,C&D International Investment Group Limited 2017 interim report = 建發國際投資集團有限公司2017中期報告.,,,Hong Kong,C&D International Investment Group Limited,2017,,"47, 47 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11075
10331,CAA Resources Limited,,,,,,,,,,CAA Resources Limited interim report 2017 = 優庫資源有限公司中期報告2017.,,,Hong Kong,CAA Resources Limited,2017,,"44, 44 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12376
10332,"Cai, Huansong",,,,,,,,,,Cai Huansong = 蔡煥松.,,,Hong Kong,China Visual Arts Publishing Company Limited,2017,A good book integrated series of photography,125 p. : ill. ; 27 cm.,Text in simplified Chinese and English,978-988-78393-0-9,,Unpriced,2017-12650
10333,"Mok, Anthony","Choi, Horace",,,,,,,,,"CAMBRIDGE IGCSE biology study guide : core & extended for CIE with practice test / Anthony Mok, Horace Choi.",,,Hong Kong,NTK Publishing Limited,2017,,306 p. : ill. (chiefly col.) ; 28 cm.,Includes index,978-988-14869-4-3 (pbk.),,$290.00,2017-12701
10334,CAR Inc.,,,,,,,,,,CAR Inc. interim report 2017 = 神州租車有限公司中期報告2017.,,,Hong Kong,CAR Inc.,2017,,"84, 84 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11091
10335,"Carroll, Scott","Hillard, Todd A.",,,,,,,,,"Be inspired : 40 days of devotional for lent / Scott Carroll, Todd A. Hillard.",,,Hong Kong,Chinese Bible International Limited,2017,,"viii, 206 p. : col. ill. ; 20 cm.",,978-988-8286-93-5 (pbk.),,$80.00,2017-10958
10336,Carry Wealth Holdings Limited,,,,,,,,,,Carry Wealth Holdings Limited 2017 interim report = 恒富控股有限公司2017中期報告.,,,Hong Kong,Carry Wealth Holdings Limited,2017,,40 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-10977
10337,Casablanca Group Limited,,,,,,,,,,Casablanca Group Limited interim report 2017 = 卡撒天嬌集團有限公司二零一七年中期報告.,,,Hong Kong,Casablanca Group Limited,2017,,"42, 42 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12149
10338,CBK Holdings Limited,,,,,,,,,,CBK Holdings Limited annual report 2017 = 國茂控股有限公司年報2017.,,,Hong Kong,CBK Holdings Limited,2017,,"82, 82 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11877
10339,CBK Holdings Limited,,,,,,,,,,CBK Holdings Limited first quarterly report 2017 = 國茂控股有限公司第一季度業績報告2017.,,,Hong Kong,CBK Holdings Limited,2017,,"14, 14 p. ; 29 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-12133
10340,CBK Holdings Limited,,,,,,,,,,"CBK Holdings Limited general mandates to issue and repurchase shares, re-election of directors, re-appointment of auditors and notice of annual general meeting, 30 June 2017 = 國茂控股有限公司發行及購回股份的一般授權 重選董事 續聘核數師及股東週年大會通告, 2017年6月30日.",,,Hong Kong,CBK Holdings Limited,2017,,"ii, 16, ii, 16 p. ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11886
10341,CCID Consulting Company Limited,,,,,,,,,,CCID Consulting Company Limited 2017 interim report = 賽迪顧問股份有限公司2017中期業績報告.,,,Hong Kong,CCID Consulting Company Limited,2017,,"28, 28 p. : charts ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-10693
10342,CCID Consulting Company Limited,,,,,,,,,,CCID Consulting Company Limited third quarterly report 2017 = 賽迪顧問股份有限公司2017第三季度報告.,,,Hong Kong,CCID Consulting Company Limited,2017,,"16, 16 p. : charts ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-13572
10343,CCT Fortis Holdings Limited,,,,,,,,,,CCT Fortis Holdings Limited interim report 2017 = 中建富通集團有限公司中期報告2017.,,,Hong Kong,CCT Fortis Holdings Limited,2017,,"57, 57 p. ; 21 cm.","Glossary, Text in Chinese and English",,,Unpriced (pbk.),2017-12325
10344,CCT Land Holdings Limited,,,,,,,,,,CCT Land Holdings Limited interim report 2017 = 中建置地集團有限公司中期報告2017.,,,Hong Kong,CCT Land Holdings Limited,2017,,"53, 53 p. ; 21 cm.","Glossary, Text in Chinese and English",,,Unpriced (pbk.),2017-12317
10345,Celebrate International Holdings Limited,,,,,,,,,,Celebrate International Holdings Limited annual report 2016/2017 = 譽滿國際(控股)有限公司2016/2017年報.,,,Hong Kong,Celebrate International Holdings Limited,2017,,204 p. : charts ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-12405
10346,Century City International Holdings Limited,,,,,,,,,,Century City International Holdings Limited 2017 interim report.,,,Hong Kong,Century City International Holdings Limited,2017,,72 p. ; 29 cm.,,,,Unpriced (pbk.),2017-11689
10347,"Chan, Osmond S. H.",,,,,,,,,,CENTURY of visitors : prominent visitors to Hong Kong in its early years = 百年過客 : 早期香港的名人訪客 / edited Osmond S.H. Chan.,,,Hong Kong,Hong Kong Museum of History,2017,,391 p. : ill. (chiefly col.) ; 30 cm.,Text in Chinese and English,978-962-7039-93-8 (pbk.),,$195.00,2017-13528
10348,Century Sage Scientific Holdings Limited,,,,,,,,,,Century Sage Scientific Holdings Limited interim report 2017 = 世紀睿科控股有限公司中期報告2017.,,,Hong Kong,Century Sage Scientific Holdings Limited,2017,,"58, 58 p. ; 21 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11583
10349,CGN Mining Company Limited,,,,,,,,,,CGN Mining Company Limited interim report 2017 = 中廣核礦業有限公司中期報告2017.,,,Hong Kong,CGN Mining Company Limited,2017,,64 p. ; 29 cm.,Text in Chinese and English,,,Unpriced (pbk.),2017-12119
10350,"CGN New Energy Holdings Co., Ltd.",,,,,,,,,,"CGN New Energy Holdings Co., Ltd. interim report 2017 = 中國廣核新能源控股有限公司中期報告2017.",,,Hong Kong,"CGN New Energy Holdings Co., Ltd",2017,,"44, 44 p. : col. ill., col. charts ; 28 cm.",Text in Chinese and English,,,Unpriced (pbk.),2017-11539
10351,"Chaisse, Julien",,,,,,,,,,Legal problems of economic globalisation : a commentary on the law and practice / Julien Chaisse.,2nd ed.,,Hong Kong,Wolters Kluwer Hong Kong Limited,2017,,"xxix, 976 p. ; 23 cm.",Includes index,978-988-77413-0-5 (pbk.),,Unpriced,2017-13005
10352,"Chan, Grace",,,,,,,,,,"CHALLENGE for the HKDSE. Paper 1, Reading. 4 / Grace Chan.",,,Hong Kong,Pilot Publishing Company Limited,2017,Pilot's English series,168 p. : ill. ; 29 cm. + 2 reading passages booklets,,978-988-8282-77-7 (sp.),,$165.00,2017-12274
10353,"Chan, Grace",,,,,,,,,,"CHALLENGE for the HKDSE. Paper 1, Reading. 4. Teacher's handbook / Grace Chan.",,,Hong Kong,Pilot Publishing Company Limited,2017,Pilot's English series,168 p. : ill. ; 29 cm. + 2 reading passages booklets,,978-988-8282-79-1 (sp.),,Unpriced,2017-12276
10354,"Chan, Grace",,,,,,,,,,"CHALLENGE for the HKDSE. Paper 3, Listening and integrated skills. 4 / Grace Chan.",,,Hong Kong,Pilot Publishing Company Limited,2017,Pilot's English series,"ii, 194 p. : ill. ; 29 cm. + 1 CD-ROM + 2 data file books",,978-988-8282-78-4 (sp.),,$190.00,2017-12275
10355,"Chan, Grace",,,,,,,,,,"CHALLENGE for the HKDSE. Paper 3, Listening and integrated skills. 4, Teacher's handbook. Part I / Grace Chan.",,,Hong Kong,Pilot Publishing Company Limited,2017,Pilot's English series,various paging : ill. ; 29 cm. + 1 data file book,,978-988-8282-74-6 (sp.),,Unpriced (set),2017-12277
10356,"Chan, Grace",,,,,,,,,,"CHALLENGE for the HKDSE. Paper 3, Listening and integrated skills. 4, Teacher's handbook. Part II / Grace Chan.",,,Hong Kong,Pilot Publishing Company Limited,2017,Pilot's English series,various paging : ill. ; 29 cm. + 1 data file book,,978-988-8282-74-6 (sp.),,Unpriced (set),2017-12278
10357,"Chan, Agnes",,,,,,,,,,40 Education proposals : bring happiness back to Hong Kong students = 40個教育提案 : 把快樂帶回給香港學生 / Agnes Chan.,,,Hong Kong,Joint Publishing (Hong Kong) Company Limited,2017,,"87, 96 p. ; 19 cm.",Text in Chinese and English,978-962-04-4158-5 (pbk.),,$68.00,2017-10751
10358,"Chan, Chi Tak",,,,,,,,,,Hong Kong lights = 香港韶光 / Chan Chi Tak.,,,Hong Kong,The Chinese University Press,2017,Ancient enmity box set collection ; 5,47 p. ; 17 cm.,Text in Chinese and English,"978-988-237-029-6 (pbk.), 978-988-237-028-9 (set)",,$20.00; $300.00,2017-12708
10359,"Chan, Janet K. M.","Yau, Laurence S. F.",,,,,,,,,"Step-by-step phonics. Book 1 / Janet KM Chan, Laurence SF Yau.",,,Hong Kong,Little Rainbow Educational,2017,,36 p. : col. ill. ; 26 cm.,,978-988-13997-5-5 (pbk.),,$75.00,2017-10785
10360,"Chan, Janet K. M.","Yau, Laurence S. F.",,,,,,,,,"Step-by-step phonics. Book 3 / Janet KM Chan, Laurence SF Yau.",,,Hong Kong,Little Rainbow Educational,2017,,40 p. : col. ill. ; 26 cm.,,978-988-13997-7-9 (pbk.),,$80.00,2017-10786
10361,"Chan, Janet K. M.","Yau, Laurence S. F.",,,,,,,,,"Step-by-step phonics. Book 5 / Janet KM Chan, Laurence SF Yau.",,,Hong Kong,Little Rainbow Educational,2017,,36 p. : col. ill. ; 26 cm.,,978-988-78179-1-8 (pbk.),,$80.00,2017-10787
10362,"Chan, Janet K. M.","Yau, Laurence S. F.",,,,,,,,,"Step-by-step phonics stories. David and May / Janet KM Chan, Laurence SF Yau.",,,Hong Kong,Little Rainbow Educational,2017,,28 p. : col. ill. ; 19 cm.,,978-988-78179-2-5 (pbk.),,$40.00,2017-10788
10363,"Chan, Janet K. M.","Yau, Laurence S. F.",,,,,,,,,"Step-by-step phonics stories. Fat cat and rat / Janet KM Chan, Laurence SF Yau.",,,Hong Kong,Little Rainbow Educational,2017,,24 p. : col. ill. ; 19 cm.,,978-988-13997-8-6 (pbk.),,$40.00,2017-10789
10364,"Chan, Sai Lok",,,,,,,,,,Writing painting : recent works by Chan Sai-Lok 2013-2016 = 書寫繪畫 : 阿三近作.,,,Hong Kong,"Chan, Sai Lok",2016,,39 p. : col. ill. ; 14 x 21 cm.,Text in Chinese and English,978-988-99885-9-3 (pbk.),,$70.00,2017-13523
10365,"Chan, Violin",,,,,,,,,,"Their past, present, and future = 過去現在將來 / Violin Chan.",,,Hong Kong,Life's Spring Publisher Limited,2017,,66 p. : col. ill. ; 26 cm.,Text in Chinese and English,978-962-313-429-3 (pbk.),,$100.00,2017-10792
